SKU (Tag ID),City where Purchases Occurs,Buyer,Invoice Amount,Invoice ID,Type,Brand,Description,Priority/Color,Expected Price,Initial List Price,Listed Date,Notes
BDR-19050,BDR,,70,269983,Computer,Garmin,Garmin Edge 510 GPS Cycling Touchscreen Computer,,,,,
BDR-19051,BDR,,470,269985,Full bike,Giant,2010 Giant Defy 3 Aluminum Medium Road Bike 24 Speed Shimano Vuelta Zero Lite,,,399.55,1/2/2020,
BDR-19052,BDR,,470,269985,Full bike,Kestrel,2011 Kestrel Airfoil Pro SL 59cm Carbon TT Triathlon 2x10 Ultegra Oval Vittoria,,,1499.85,12/10/2019,
BDR-19053,BDR,,470,269985,Wheel,,BDR-19053,,,,,
BDR-19054,BDR,,250,269986,Full bike,Lemond,2002 LeMond Zurich 55cm Steel Road Bike 2x9 Speed Shimano Ultegra Reynolds 853,,,439.35,12/19/2019,Zurich
BDR-19055,BDR,,250,269986,Full bike,Felt,2005 Felt F70 48 cm Road Bike 3 x 9 Speed Shimano 105 with Carbon Seat Stays,,,429.55,12/17/2019,F70
BDR-19056,BDR,,120,269987,Full bike,GT,"GT Pantera AL Extra Large 22"" XL Rigid Fork Mountain Bike 3 x 9 Speed Shimano XT",,,279.85,1/29/2020,Pantera
BDR-19057,BDR,,120,269987,Full bike,Trek,BDR-19057,,,,,Trail o bike
BDR-19058,BDR,,50,269988,Wheel,Enve,Enve Classic 45 Tubular Carbon 20 spoke Front Wheel 850g,,,269.85,12/11/2019,
BDR-19059,BDR,,1500,269989,Full bike,Trek,2017 Trek Boone RSL 61cm XL Carbon Fiber Cyclocross Race Bike 11 Speed Ultegra,,,1999.85,12/12/2019,Boone
BDR-19060,BDR,,1500,269989,Full bike,Trek,2018 Trek Procaliber 8 29er Mountain Bike 21.5in XL 1 x 11 Speed Shimano XT XTR,,,1449.85,12/30/2019,2018 Procaliber 8
BDR-19061,BDR,,95,269990,Trainer,Elite,Qubo Elite Fluid Indoor Cycling Trainer,,,149.85,12/11/2019,Fluid
BDR-19062,BDR,,95,269990,Rack,Thule,Thule 9042 Helium Aero 2 Bike Carrier Rack Hitch Mounted,,,179.55,2/3/2020,9042 Helium 2
BDR-19063,BDR,,125,269991,Full bike,Trek,2010 Trek 1.2 Triple 54cm Aluminum Road Bike 3 x 9 Speed Shimano Bontrager,,,339.35,12/19/2019,Alpha 1.2
BDR-19064,BDR,,120,269992,Full bike,Trek,2012 Trek 7.3 FX WSD 19in Large Hybrid Bike 3 x 8 Speed Shimano,,,379.35,12/19/2019,7.3 FX
BDR-19065,BDR,,300,269993,Full bike,Lemond,2006 LeMond Etape 55 cm Medium Road Bike 24 Speed Shimano Tiagra Sora 700c,,,329.55,12/17/2019,Etape (Blue/black)
BDR-19066,BDR,,210,269995,Wheelset,DT swiss/ Am classic,BDR-19066,,,,,
